Dates;SP1;US1;TY1;GC1;SPUS;SPTY;SPGC
13/08/2008;5.29446768944677;4.54897660818713;3.57017543859649;2.59388235294118;1.16388105401947;1.48297129384995;2.04113640059405
14/08/2008;5.33240353324036;4.58114035087719;3.58270676691729;2.53060392156863;1.16399043138229;1.48837286447212;2.10716639130749
15/08/2008;5.35671780567178;4.60380116959064;3.59147869674185;2.47121568627451;1.16354238776739;1.49150760953457;2.16764478933335
18/08/2008;5.28414690841469;4.62134502923977;3.60025062656642;2.51002352941177;1.14342185553801;1.46771640546987;2.10521807723972
19/08/2008;5.2277080427708;4.60745614035088;3.59649122807018;2.55435294117647;1.13461916587505;1.45355784603871;2.04658798653057
20/08/2008;5.24993026499303;4.62573099415205;3.60839598997494;2.55269019607843;1.13494067675576;1.45492076800293;2.05662648489747
21/08/2008;5.25695025569503;4.6140350877193;3.59774436090226;2.62588235294118;1.13933902880082;1.46117948590896;2.00197478375483
22/08/2008;5.32580195258019;4.61184210526316;3.58897243107769;2.58211764705882;1.15481012381197;1.48393504125663;2.06257137766228
25/08/2008;5.21943282194328;4.64546783625731;3.61340852130326;2.57866666666667;1.12355375301627;1.44446242133197;2.0240820147143
26/08/2008;5.24128312412831;4.6483918128655;3.61278195488722;2.58792156862745;1.12754761972127;1.45076098961304;2.0252866963461
27/08/2008;5.28414690841469;4.65570175438596;3.61904761904762;2.59419607843137;1.13498398032836;1.46009322469353;2.03691114651975
28/08/2008;5.35011622501162;4.65497076023392;3.6140350877193;2.61662745098039;1.14933401316205;1.48037196517312;2.04466104756604
29/08/2008;5.28623895862389;4.63157894736842;3.60964912280702;2.60752941176471;1.1413470478847;1.46447446241342;2.02729792222988
01/09/2008;5.28623895862389;4.63157894736842;3.60964912280702;2.56533333333333;1.1413470478847;1.46447446241342;2.06064408470266
02/09/2008;5.26108786610879;4.66301169590643;3.63157894736842;2.52658823529412;1.12825963330253;1.44870535443575;2.08228938638129
03/09/2008;5.25574151557415;4.6812865497076;3.64035087719298;2.51388235294118;1.12271305329567;1.44374586210953;2.09068714350338
04/09/2008;5.09665271966527;4.70029239766082;3.64786967418546;2.49866666666667;1.0843267372476;1.39715866379007;2.03974895397489
05/09/2008;5.11520223152022;4.70029239766082;3.63784461152882;2.52078431372549;1.08827319637942;1.40610795065558;2.02921059277794
08/09/2008;5.22194328219433;4.70687134502924;3.63157894736842;2.51701960784314;1.10942978879358;1.43792641103902;2.07465339798011
09/09/2008;5.05434681543468;4.74342105263158;3.64598997493734;2.43843137254902;1.06554884319843;1.38627556580748;2.07278616586659
10/09/2008;5.08196187819619;4.72368421052631;3.63345864661654;2.36062745098039;1.07584708284933;1.39865686456305;2.15280131394117
11/09/2008;5.15439330543933;4.73538011695906;3.63847117794486;2.34186666666667;1.08848565017614;1.41663711304997;2.20097641714843
12/09/2008;5.18117154811716;4.68055555555555;3.61654135338346;2.40156862745098;1.10695653253542;1.43263163388686;2.15741140556805
15/09/2008;4.92426778242678;4.78728070175439;3.68045112781955;2.46792156862745;1.0286148001771;1.33795222689022;1.9953096747582
16/09/2008;5.007019990702;4.80043859649123;3.67042606516291;2.44627450980392;1.04303385827324;1.36415225420969;2.04679400068774
17/09/2008;4.78758716875872;4.81286549707602;3.69674185463659;2.71011764705882;0.994747759243914;1.29508290192185;1.76656064136348
18/09/2008;4.953509995351;4.80774853801169;3.69486215538847;2.66930196078431;1.03031802852975;1.3406481181245;1.85573234805384
19/09/2008;5.12970711297071;4.66374269005848;3.60588972431078;2.74054901960784;1.09991212077491;1.42259123410969;1.87178082795423
22/09/2008;4.99716410971641;4.6359649122807;3.59022556390977;2.81411764705882;1.07791240966447;1.39188026511473;1.77574811591093
23/09/2008;4.88679683867969;4.61988304093567;3.58145363408521;2.79890196078431;1.05777501191674;1.3644730151387;1.74596927907768
24/09/2008;4.91152952115295;4.63230994152047;3.59335839598998;2.76903529411765;1.06027653226089;1.36683541687186;1.77373308732708
25/09/2008;4.99632728963273;4.60891812865497;3.56516290726817;2.75419607843137;1.08405642065307;1.40143029073002;1.81407828177518
26/09/2008;5.00004649000465;4.63523391812865;3.58020050125313;2.75686274509804;1.07870424196915;1.39658281379899;1.81367262439713
29/09/2008;4.60604370060437;4.72953216374269;3.63533834586466;2.85333333333333;0.973889920004139;1.26701925993874;1.61426765208097
30/09/2008;4.81269177126918;4.62426900584795;3.57393483709273;2.73239215686275;1.04074649748597;1.34660870738878;1.7613473817005
01/10/2008;4.81022780102278;4.66520467836257;3.58897243107769;2.73192156862745;1.03108612218727;1.34027995293861;1.76074886492422
02/10/2008;4.62910274291027;4.71198830409357;3.6015037593985;2.624;0.98240964199523;1.28532497872039;1.76413976482861
03/10/2008;4.5628079962808;4.72222222222222;3.6171679197995;2.62117647058824;0.966241693330052;1.26143106912596;1.74074811348235
06/10/2008;4.33635518363552;4.81359649122807;3.67857142857143;2.69725490196079;0.900855564345238;1.17881500137665;1.60769202068487
